Day, Number of animals, Number of Grass, Number of free tiles, The most popular genotype, Average energy, Average lifespan, Average number of children
1, 11, 23, 69, 03042, 60.00, 0.00, 0.18
2, 11, 32, 61, 03042, 52.73, 0.00, 0.18
3, 11, 41, 51, 03042, 45.45, 0.00, 0.18
4, 11, 47, 46, 03042, 46.36, 0.00, 0.18
5, 11, 54, 37, 03042, 45.00, 0.00, 0.18
6, 11, 61, 33, 03042, 43.18, 0.00, 0.18
7, 11, 66, 26, 03042, 46.82, 0.00, 0.18
8, 11, 72, 22, 03042, 48.64, 0.00, 0.18
9, 11, 78, 18, 03042, 50.45, 9.00, 0.36
10, 11, 80, 13, 03042, 62.27, 9.00, 0.36
11, 11, 84, 10, 03042, 68.64, 9.00, 0.36
12, 12, 86, 9, 03042, 72.08, 9.00, 0.50
13, 12, 87, 8, 03042, 82.92, 9.00, 0.50
14, 12, 89, 6, 03042, 88.75, 9.00, 0.50
15, 13, 87, 10, 03042, 91.92, 9.00, 0.62
16, 13, 83, 14, 03042, 104.23, 11.50, 0.77
17, 14, 77, 21, 03042, 98.93, 12.67, 1.00
18, 14, 72, 25, 03042, 86.07, 12.67, 1.00
19, 14, 65, 30, 03042, 73.21, 12.67, 1.00
20, 14, 58, 37, 03042, 62.14, 12.67, 1.00
