Day, Number of animals, Number of Grass, Number of free tiles, The most popular genotype, Average energy, Average lifespan, Average number of children
1, 10, 23, 68, 65504, 66.00, 0.00, 0.00
2, 10, 31, 63, 65504, 62.00, 0.00, 0.00
3, 10, 38, 54, 65504, 61.00, 0.00, 0.00
4, 10, 46, 46, 65504, 57.00, 0.00, 0.00
5, 10, 50, 44, 65504, 65.00, 0.00, 0.00
6, 10, 54, 40, 65504, 73.00, 0.00, 0.00
7, 10, 60, 30, 65504, 75.00, 0.00, 0.00
8, 11, 63, 32, 65504, 78.18, 0.00, 0.18
9, 11, 68, 22, 65504, 81.82, 0.00, 0.18
10, 11, 71, 22, 65504, 90.91, 0.00, 0.18
11, 11, 75, 20, 65504, 98.18, 0.00, 0.18
12, 10, 78, 17, 65504, 119.00, 12.00, 0.20
13, 11, 82, 13, 65504, 115.45, 12.00, 0.36
14, 11, 85, 11, 65504, 121.82, 12.00, 0.36
15, 12, 86, 6, 65504, 125.00, 12.00, 0.50
16, 14, 88, 5, 65504, 115.71, 12.00, 0.71
17, 15, 88, 7, 65504, 118.67, 12.00, 0.80
18, 16, 88, 3, 65504, 120.63, 12.00, 0.88
19, 18, 89, 4, 40337, 113.61, 12.00, 1.00
20, 19, 85, 6, 40337, 120.79, 12.00, 1.05
21, 19, 83, 7, 40337, 130.26, 9.00, 1.11
22, 21, 83, 7, 40337, 123.10, 9.00, 1.19
23, 23, 82, 9, 40337, 117.61, 9.00, 1.26
24, 26, 81, 7, 40337, 106.73, 9.00, 1.35
25, 29, 76, 12, 06336, 102.24, 9.00, 1.41
26, 33, 74, 15, 06336, 91.06, 9.00, 1.48
27, 33, 70, 9, 06336, 93.79, 9.00, 1.48
28, 36, 70, 16, 06336, 85.14, 9.00, 1.53
29, 38, 67, 16, 52422, 81.45, 9.00, 1.55
30, 40, 58, 20, 52422, 82.13, 9.00, 1.58
31, 44, 56, 22, 52422, 74.20, 9.00, 1.61
32, 47, 54, 26, 52422, 68.94, 9.67, 1.68
33, 44, 55, 23, 52422, 70.57, 13.14, 1.70
34, 46, 50, 30, 52422, 69.02, 12.38, 1.74
35, 44, 48, 31, 52422, 71.48, 14.00, 1.80
36, 45, 46, 36, 52422, 69.22, 15.07, 1.76
37, 45, 42, 37, 52422, 69.78, 15.00, 1.76
38, 45, 37, 41, 52422, 71.11, 14.95, 1.80
39, 45, 35, 39, 52422, 70.22, 15.00, 1.82
40, 45, 36, 38, 51152, 66.89, 16.00, 1.69
41, 47, 28, 49, 51152, 66.49, 16.00, 1.70
42, 47, 24, 48, 51152, 65.43, 15.41, 1.79
43, 50, 27, 45, 51152, 56.70, 15.61, 1.70
44, 53, 27, 45, 51152, 50.47, 15.61, 1.72
45, 52, 23, 49, 32503, 50.58, 14.94, 1.81
46, 51, 25, 45, 32503, 46.76, 14.44, 1.88
47, 51, 25, 46, 32503, 43.43, 14.20, 1.90
48, 49, 29, 41, 32503, 39.59, 13.66, 1.98
49, 48, 26, 49, 32503, 39.90, 13.49, 2.02
