Day, Number of animals, Number of Grass, Number of free tiles, The most popular genotype, Average energy, Average lifespan, Average number of children
1, 10, 24, 66, 10277, 63.00, 0.00, 0.00
2, 10, 31, 62, 10277, 62.00, 0.00, 0.00
3, 10, 37, 58, 10277, 64.00, 0.00, 0.00
4, 10, 46, 46, 10277, 57.00, 0.00, 0.00
5, 10, 52, 42, 10277, 59.00, 0.00, 0.00
6, 10, 58, 34, 10277, 61.00, 0.00, 0.00
7, 10, 60, 35, 10277, 75.00, 0.00, 0.00
8, 10, 64, 30, 10277, 80.00, 0.00, 0.00
9, 10, 66, 27, 10277, 94.00, 0.00, 0.00
10, 10, 70, 24, 10277, 102.00, 0.00, 0.00
11, 10, 75, 19, 10277, 104.00, 0.00, 0.00
12, 10, 79, 17, 10277, 112.00, 0.00, 0.00
13, 10, 81, 13, 10277, 126.00, 0.00, 0.00
14, 10, 83, 11, 10277, 140.00, 0.00, 0.00
15, 10, 87, 5, 10277, 148.00, 0.00, 0.00
16, 10, 88, 7, 10277, 165.00, 0.00, 0.00
17, 10, 90, 5, 10277, 179.00, 0.00, 0.00
18, 10, 93, 4, 10277, 190.00, 0.00, 0.00
19, 12, 96, 2, 10277, 167.50, 0.00, 0.33
20, 14, 96, 2, 10277, 156.43, 0.00, 0.57
21, 15, 94, 3, 10277, 160.67, 0.00, 0.67
22, 16, 94, 1, 10277, 160.00, 0.00, 0.75
