Day, Number of animals, Number of Grass, Number of free tiles, The most popular genotype, Average energy, Average lifespan, Average number of children
1, 2, 5, 19, 17225, 90.00, 0.00, 0.00
2, 2, 7, 16, 17225, 80.00, 0.00, 0.00
3, 2, 8, 16, 17225, 85.00, 0.00, 0.00
4, 2, 10, 13, 17225, 75.00, 0.00, 0.00
5, 2, 12, 12, 17225, 65.00, 0.00, 0.00
6, 2, 14, 10, 17225, 55.00, 0.00, 0.00
7, 2, 14, 9, 17225, 75.00, 0.00, 0.00
8, 2, 15, 8, 17225, 80.00, 0.00, 0.00
9, 2, 17, 6, 17225, 70.00, 0.00, 0.00
10, 2, 17, 7, 17225, 90.00, 0.00, 0.00
11, 2, 18, 5, 17225, 95.00, 0.00, 0.00
